0,1,2
0.03,0.034,-0.799
0.007000000000000001,0.049,-0.8
0.023,0.06,-0.7929999999999998
0.028000000000000004,0.029,-0.8029999999999998
0.005,0.028000000000000004,-0.798
-0.027000000000000003,0.013,-0.8429999999999999
-0.029,0.018,-0.8089999999999998
-0.006,0.041,-0.798
0.014000000000000002,0.05,-0.787
0.02,0.026,-0.798
0.018,0.038,-0.78
-0.011,0.017,-0.799
0.008999999999999998,0.014000000000000002,-0.8169999999999998
0.043,0.012,-0.792
0.012,0.034,-0.84
0.0,0.028000000000000004,-0.79
0.006,0.036,-0.8409999999999999
0.05,0.017,-0.786
-0.01,0.081,-0.79
-0.005,0.029,-0.798
0.022,0.024,-0.788
-0.016,0.061,-0.7769999999999998
-0.01,0.027000000000000003,-0.794
0.01,0.004,-0.792
-0.011,0.022,-0.798
0.005,0.004,-0.769
0.011,0.037,-0.787
-0.008999999999999998,0.004,-0.8
0.028000000000000004,0.0,-0.79
0.001,0.034,-0.799
0.017,0.026,-0.8249999999999998
0.007000000000000001,0.011,-0.8009999999999998
0.022,0.054000000000000006,-0.76
0.004,0.039,-0.8089999999999998
0.005,0.017,-0.808
0.006,-0.004,-0.8099999999999998
-0.005,0.045,-0.794
-0.007000000000000001,0.046,-0.765
0.008999999999999998,0.012,-0.807
-0.015,0.018,-0.8119999999999998
0.02,-0.014000000000000002,-0.7929999999999998
0.023,-0.0,-0.78
-0.044,-0.007000000000000001,-0.805
0.031,0.038,-0.776
0.003,0.017,-0.787
0.025,0.034,-0.796
0.014000000000000002,0.047,-0.794
0.006,0.029,-0.7929999999999998
-0.004,0.026,-0.7929999999999998
-0.031,0.064,-0.775
0.032,0.06999999999999999,-0.79
0.052,0.003,-0.8199999999999998
0.038,0.05500000000000001,-0.796
-0.022,0.066,-0.786
0.021,0.063,-0.769
-0.027000000000000003,-0.012,-0.7969999999999998
0.012,0.019,-0.8039999999999998
-0.002,0.03,-0.786
-0.012,0.04,-0.805
0.039,-0.017,-0.806
0.006,0.025,-0.8169999999999998
0.0,0.032,-0.787
-0.01,0.012,-0.7769999999999998
-0.008,0.045,-0.7849999999999998
0.01,0.017,-0.798
0.002,0.025,-0.805
0.02,0.048,-0.808
0.004,0.063,-0.7809999999999998
0.024,0.052,-0.791
0.007000000000000001,0.06899999999999999,-0.7809999999999998
0.02,0.017,-0.774
0.028000000000000004,0.034,-0.8259999999999998
-0.031,0.049,-0.815
-0.003,0.058,-0.783
-0.002,0.025,-0.7849999999999998
-0.013,0.03,-0.8189999999999998
-0.008,0.016,-0.8009999999999998
-0.007000000000000001,0.042,-0.796
0.029,0.07299999999999998,-0.791
0.071,0.054000000000000006,-0.7929999999999998
-0.022,0.053000000000000005,-0.7929999999999998
-0.025,0.066,-0.8169999999999998
-0.025,0.06899999999999999,-0.791
0.026,0.021,-0.806
0.049,0.023,-0.7849999999999998
0.057,0.035,-0.79
-0.01,0.021,-0.795
-0.006,0.036,-0.8039999999999998
0.039,0.036,-0.821
0.024,0.02,-0.779
-0.022,0.105,-0.791
-0.016,-0.002,-0.782
0.008999999999999998,0.049,-0.796
0.004,0.052,-0.779
0.023,-0.005,-0.761
0.025,0.031,-0.808
0.01,0.03,-0.8089999999999998
0.006,0.078,-0.7969999999999998
-0.002,-0.01,-0.7929999999999998
0.018,0.023,-0.8099999999999998
0.007000000000000001,0.065,-0.8029999999999998
0.011,0.032,-0.807
0.017,0.045,-0.791
-0.049,0.05,-0.782
0.016,0.046,-0.8179999999999998
0.01,0.035,-0.7969999999999998
-0.01,0.072,-0.8
0.033,0.027000000000000003,-0.764
0.02,0.033,-0.8089999999999998
0.03,0.034,-0.788
-0.028000000000000004,0.033,-0.8349999999999999
0.028000000000000004,0.026,-0.806
0.044,0.023,-0.813
0.04,0.036,-0.806
-0.0,0.016,-0.78
-0.025,0.065,-0.8029999999999998
-0.011,0.028000000000000004,-0.8409999999999999
0.007000000000000001,0.005,-0.8189999999999998
0.012,0.025,-0.779
-0.047,0.012,-0.8189999999999998
0.017,0.054000000000000006,-0.8009999999999998
0.028000000000000004,0.026,-0.8279999999999998
0.024,0.062,-0.782
0.024,0.022,-0.784
0.042,0.007000000000000001,-0.784
-0.004,0.018,-0.78
0.011,0.047,-0.7849999999999998
-0.017,0.029,-0.7809999999999998
0.024,0.06999999999999999,-0.805
-0.006,0.041,-0.762
0.014000000000000002,0.045,-0.8029999999999998
0.037,0.044,-0.8109999999999998
0.007000000000000001,0.048,-0.78
-0.008999999999999998,0.04,-0.808
0.018,0.031,-0.7929999999999998
-0.007000000000000001,-0.007000000000000001,-0.796
0.019,0.028000000000000004,-0.77
0.042,0.029,-0.7969999999999998
0.023,0.0,-0.807
0.019,0.025,-0.808
-0.026,0.013,-0.8089999999999998
0.013,0.041,-0.767
0.034,0.007000000000000001,-0.799
0.011,0.06,-0.774
-0.006,0.031,-0.787
-0.008,0.042,-0.792
-0.005,0.03,-0.7929999999999998
0.018,0.022,-0.8119999999999998
0.003,0.03,-0.808
-0.011,0.037,-0.808
0.01,0.021,-0.768
-0.012,0.048,-0.83
-0.025,0.048,-0.773
-0.017,0.096,-0.8009999999999998
0.02,0.042,-0.8349999999999999
0.008,0.019,-0.8089999999999998
-0.012,0.002,-0.821
0.017,0.022,-0.814
0.008,0.027000000000000003,-0.8029999999999998
0.046,-0.007000000000000001,-0.782
0.006,0.028000000000000004,-0.787
0.032,0.01,-0.8349999999999999
0.06999999999999999,0.031,-0.8449999999999999
0.038,0.021,-0.821
0.006,0.051,-0.7969999999999998
0.06,0.032,-0.8199999999999998
-0.008999999999999998,0.049,-0.8099999999999998
0.027000000000000003,0.019,-0.8169999999999998
0.011,-0.01,-0.815
-0.008999999999999998,0.028000000000000004,-0.8329999999999999
0.007000000000000001,0.024,-0.8
0.005,0.058,-0.8089999999999998
-0.007000000000000001,0.008,-0.8550000000000002
0.034,0.014000000000000002,-0.7809999999999998
0.032,0.022,-0.783
-0.023,0.008999999999999998,-0.784
0.03,0.06,-0.782
-0.007000000000000001,0.005,-0.808
0.017,0.041,-0.7969999999999998
0.012,0.043,-0.8029999999999998
0.005,0.063,-0.794
0.034,0.0,-0.796
0.0,0.015,-0.8189999999999998
0.042,0.041,-0.8109999999999998
0.051,0.046,-0.794
0.035,-0.012,-0.8
-0.02,0.028000000000000004,-0.766
0.011,0.025,-0.791
0.033,0.002,-0.778
0.017,0.044,-0.815
0.026,0.006,-0.7969999999999998
0.05,0.015,-0.7809999999999998
-0.001,0.051,-0.8099999999999998
0.027000000000000003,0.026,-0.8089999999999998
-0.004,0.048,-0.8449999999999999
-0.028000000000000004,0.017,-0.796
-0.008999999999999998,0.021,-0.795
0.057,0.003,-0.806
-0.012,0.071,-0.807
0.025,0.035,-0.8019999999999998
0.022,0.02,-0.7969999999999998
0.011,0.041,-0.848
0.043,0.028000000000000004,-0.767
0.023,0.038,-0.782
0.01,0.051,-0.8029999999999998
0.006,0.013,-0.799
0.7849999999999998,-0.017,-0.43099999999999994
0.792,-0.032,-0.43600000000000005
0.786,-0.017,-0.403
0.79,0.007000000000000001,-0.412
0.79,-0.007000000000000001,-0.437
0.7769999999999998,-0.023,-0.408
0.761,-0.018,-0.416
0.798,-0.05,-0.449
0.774,-0.035,-0.439
0.7849999999999998,-0.006,-0.407
0.8009999999999998,-0.04,-0.44400000000000006
0.794,-0.006,-0.42699999999999994
0.807,0.008999999999999998,-0.393
0.8019999999999998,0.004,-0.433
0.779,-0.08599999999999998,-0.43099999999999994
0.7969999999999998,0.015,-0.443
0.787,-0.03,-0.385
0.8089999999999998,-0.001,-0.414
0.8019999999999998,-0.001,-0.41
0.792,-0.011,-0.401
0.8179999999999998,-0.033,-0.42
0.8029999999999998,-0.049,-0.43
0.794,-0.012,-0.418
0.783,0.011,-0.421
0.79,-0.031,-0.439
0.779,-0.046,-0.415
0.8199999999999998,-0.032,-0.42699999999999994
0.8,-0.06999999999999999,-0.449
0.822,-0.033,-0.398
0.806,-0.031,-0.422
0.749,-0.021,-0.435
0.8199999999999998,0.005,-0.438
0.766,-0.026,-0.467
0.794,-0.017,-0.42699999999999994
0.767,-0.013,-0.401
0.782,0.013,-0.415
0.7889999999999998,-0.077,-0.438
0.823,-0.008,-0.434
0.8169999999999998,0.029,-0.429
0.8039999999999998,-0.047,-0.394
0.8349999999999999,0.011,-0.396
0.787,-0.008,-0.415
0.8249999999999998,0.002,-0.461
0.747,-0.057,-0.407
0.8,0.001,-0.446
0.799,-0.022,-0.412
0.796,0.012,-0.454
0.824,-0.001,-0.438
